"Date","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
2002-04-05,14.11,14.05,13.16,13.57,5026753,13.57
2002-04-08,13.17,14.11,12.46,13.98,5086636,13.98
2002-04-09,13.95,14.74,13.31,13.29,5844340,13.29
2002-04-10,14.24,14.18,13.01,13.84,4871659,13.84
2002-04-11,13.18,13.57,12.17,12.84,5581616,12.84
2002-04-12,12.5,13.68,12.76,13.44,5144230,13.44
2002-04-15,13.47,14.1,13.28,13.88,4606977,13.88
2002-04-16,13.9,14.61,13.65,14.55,3454104,14.55
2002-04-17,14.36,15.11,14.13,15.01,8302189,15.01
2002-04-18,14.26,15.16,13.78,14.57,4274717,14.57
2002-04-19,14.51,14.83,13.61,14.58,3334851,14.58
2002-04-22,14.6,15.26,13.99,14.81,6162004,14.81
2002-04-23,14.4,14.94,13.31,14.27,7472087,14.27
2002-04-24,15.44,17.19,14.92,16.550001,34378367,16.550001
2002-04-25,16.34,17.209999,16.05,17.31,11617085,17.31
2002-04-26,16.930001,16.970001,16.18,17.4,8285655,17.4
2002-04-29,17.03,17.05,15.42,16.01,6677519,16.01
2002-04-30,16.219999,16.79,15.69,17.400001,6352027,17.400001
2002-05-01,16.479999,17.109999,16.27,16.4,7827570,16.4
2002-05-02,16.38,16.88,16.04,16.53,4704202,16.53
2002-05-03,16.25,16.47,15.65,16.199999,5413857,16.199999
2002-05-06,15.72,16.54,15.35,16.190001,6460100,16.190001
2002-05-07,16.020001,16.59,15.960001,16.080001,4774789,16.080001
2002-05-08,16.269999,17.469999,16.29,17.18,7921414,17.18
2002-05-09,16.920001,18.88,16.37,17.96,11713891,17.96
2002-05-10,18.219999,18.059999,16.729999,16.770001,7740802,16.770001
2002-05-13,17.11,17.679999,16.79,17.46,6953003,17.46
2002-05-14,18.190001,19.740001,17.98,18.809999,14610956,18.809999
2002-05-15,18.76,20.45,18.29,20.110001,13596519,20.110001
2002-05-16,19.52,20.010001,18.630001,19.910001,7996542,19.910001
2002-05-17,20.249999,20.06,18.619999,18.99,7350303,18.99
2002-05-20,18.659999,19.51,18.5,19.349999,8712586,19.349999
2002-05-21,19.920001,19.879999,18.389999,19.17,8258145,19.17
2002-05-22,18.65,19.139999,18.129999,19.31,5773273,19.31
2002-05-23,18.85,19.599999,18.440001,19.540001,5818232,19.540001
2002-05-24,18.88,20.120001,18.799999,19.489999,3943824,19.489999
2002-05-28,19.37,19.730001,18.66,19.019999,4113219,19.019999
2002-05-29,18.08,19.62,18.739999,19.03,3328974,19.03
2002-05-30,18.700001,19.210001,18.01,18.500001,7260393,18.500001
2002-05-31,18.41,19.109999,18.100001,18.61,5048696,18.61
2002-06-03,18.319999,18.62,17.63,18.129999,3713132,18.129999
2002-06-04,17.919999,18.689999,17.279999,18.159999,7893446,18.159999
2002-06-05,17.82,18.32,17.170001,17.78,4179282,17.78
2002-06-06,18.139999,18.41,17.73,18.07,5625975,18.07
2002-06-07,18.159999,18.8,17.67,18.39,6173422,18.39
2002-06-10,18.09,18.280001,16.57,16.809999,10908693,16.809999
2002-06-11,16.949999,17.960001,17.000001,17.279999,6108414,17.279999
2002-06-12,17.289999,17.25,16.03,17.05,7507108,17.05
2002-06-13,16.53,17.84,16.64,17.8,4749850,17.8
2002-06-14,17.079999,17.47,16.24,16.94,7929546,16.94
2002-06-17,16.880001,18.72,16.610001,18.35,8885830,18.35
2002-06-18,18.179999,19.35,17.93,18.860001,7980868,18.860001
2002-06-19,18.15,19.55,18.1,18.769999,6351846,18.769999
2002-06-20,18.29,18.619999,17.01,17.469999,8604463,17.469999
2002-06-21,17.49,17.970001,16.86,17.660001,4336790,17.660001
2002-06-24,17.45,17.820001,16.590001,16.96,5405613,16.96
2002-06-25,16.809999,17.140001,14.3,15.85,15475565,15.85
2002-06-26,14.54,16.02,14.45,16.34,7997061,16.34
2002-06-27,16.130001,16.529999,15.13,16.19,6191382,16.19
2002-06-28,15.78,16.580001,15.07,16.15,6358440,16.15
